	DEPT	GR
0	19.9644	27.5211
1	19.9644	30.6875
2	20.0406	27.7613
3	20.0406	30.6367
4	20.1168	27.7758
5	20.1168	30.446
6	20.193	27.6221
7	20.193	30.2562
8	20.2692	27.4749
9	20.2692	30.1985
10	20.3454	27.5422
11	20.3454	30.2968
12	20.4216	30.4602
13	20.4216	27.9173
14	20.4978	28.5509
15	20.4978	30.5481
16	20.574	29.3017
17	20.574	30.4865
18	20.6502	29.9641
19	20.6502	30.3488
20	20.7264	30.2615
21	20.7264	30.3596
22	20.8026	30.3505
23	20.8026	30.3791
24	20.8788	30.6051
25	20.8788	30.0638
26	20.955	29.5763
27	20.955	30.8839
28	21.0312	31.0753
29	21.0312	29.0604
30	21.1074	31.1811
31	21.1074	28.6433
32	21.1836	28.3677
33	21.1836	31.2175
34	21.2598	31.2063
35	21.2598	28.2318
36	21.336	31.1302
37	21.336	28.221
38	21.4122	28.284
39	21.4122	30.9504
40	21.4884	30.659
41	21.4884	28.3492
42	21.5646	30.3263
43	21.5646	28.3729
44	21.6408	30.003
45	21.6408	28.3558
46	21.717	29.7165
47	21.717	28.3474
48	21.7932	29.4778
49	21.7932	28.4585
50	21.8694	29.2599
51	21.8694	28.7976
52	21.9456	29.3244
53	21.9456	29.0061
54	22.0218	28.7481
55	22.0218	29.8234
56	22.098	30.04
57	22.098	28.6366
58	22.1742	29.8262
59	22.1742	28.8505
60	22.2504	29.3534
61	22.2504	29.4616
62	22.3266	30.3416
63	22.3266	28.9498
64	22.4028	28.9242
65	22.4028	31.2622
66	22.479	32.0512
67	22.479	29.358
68	22.5552	32.6068
69	22.5552	30.098
70	22.6314	32.8981
71	22.6314	30.7938
72	22.7076	32.9692
73	22.7076	31.2187
74	22.7838	32.8945
75	22.7838	31.3416
76	22.86	31.2956
77	22.86	32.6962
78	22.9362	31.1964
79	22.9362	32.3374
80	23.0124	31.0877
81	23.0124	31.822
82	23.0886	31.3445
83	23.0886	30.8904
84	23.1648	30.6044
85	23.1648	31.1866
86	23.241	30.266
87	23.241	31.5028
88	23.3172	29.9085
89	23.3172	32.1523
90	23.3934	29.5769
91	23.3934	32.8164
92	23.4696	29.3491
93	23.4696	33.1292
94	23.5458	29.2892
95	23.5458	32.896
96	23.622	32.249
97	23.622	29.4924
98	23.6982	31.5721
99	23.6982	29.9342
100	23.7744	30.5589
101	23.7744	31.1896
102	23.8506	31.2478
103	23.8506	31.2458
104	23.9268	31.8446
105	23.9268	31.678
106	24.003	32.2564
107	24.003	32.3568
108	24.0792	32.5459
109	24.0792	33.1165
110	24.1554	32.8006
111	24.1554	33.8011
112	24.2316	34.3116
113	24.2316	33.0603
114	24.3078	33.3379
115	24.3078	34.6752
116	24.384	33.6626
117	24.384	35.0123
118	24.4602	34.0604
119	24.4602	35.3988
120	24.5364	34.6493
121	24.5364	35.7902
122	24.6126	36.1142
123	24.6126	35.5069
124	24.6888	36.3141
125	24.6888	36.5853
126	24.765	37.7794
127	24.765	36.4362
128	24.8412	36.6057
129	24.8412	38.9165
130	24.9174	37.0316
131	24.9174	39.8648
132	24.9936	40.5948
133	24.9936	37.8957
134	25.0698	41.1972
135	25.0698	39.1551
136	25.146	41.7952
137	25.146	40.4909
138	25.2222	42.4195
139	25.2222	41.5521
140	25.2984	42.9523
141	25.2984	42.1006
142	25.3746	43.2119
143	25.3746	42.1437
144	25.4508	43.0936
145	25.4508	41.8391
146	25.527	42.6246
147	25.527	41.4385
148	25.6032	42.032
149	25.6032	41.2094
150	25.6794	41.3464
151	25.6794	41.5923
152	25.7556	41.9411
153	25.7556	41.435
154	25.8318	42.8935
155	25.8318	41.5625
156	25.908	43.9324
157	25.908	41.9541
158	25.9842	44.838
159	25.9842	42.5756
160	26.0604	43.4032
161	26.0604	45.5356
162	26.1366	44.3894
163	26.1366	46.028
164	26.2128	46.3757
165	26.2128	45.3255
166	26.289	46.6928
167	26.289	45.9518
168	26.3652	46.1648
169	26.3652	47.0947
170	26.4414	46.1391
171	26.4414	47.5515
172	26.5176	47.9849
173	26.5176	46.2227
174	26.5938	48.3659
175	26.5938	46.8121
176	26.67	48.7451
177	26.67	48.0221
178	26.7462	49.6916
179	26.7462	49.1497
180	26.8224	49.5578
181	26.8224	51.4796
182	26.8986	49.9772
183	26.8986	52.958
184	26.9748	53.7283
185	26.9748	50.5078
186	27.051	53.661
187	27.051	51.1841
188	27.1272	52.8086
189	27.1272	51.8188
190	27.2034	51.3871
191	27.2034	52.1284
192	27.2796	49.7147
193	27.2796	52.0322
194	27.3558	48.15
195	27.3558	51.7063
196	27.432	51.4267
197	27.432	46.9584
198	27.5082	51.4253
199	27.5082	46.2739
200	27.5844	46.0671
201	27.5844	51.7607
202	27.6606	52.3144
203	27.6606	46.225
204	27.7368	46.7778
205	27.7368	52.8217
206	27.813	53.1212
207	27.813	47.8824
208	27.8892	53.3047
209	27.8892	49.5284
210	27.9654	51.5212
211	27.9654	53.6204
212	28.0416	54.2386
213	28.0416	53.4909
214	28.1178	55.0577
215	28.1178	55.0359
216	28.194	55.8083
217	28.194	55.9447
218	28.2702	56.4692
219	28.2702	56.1642
220	28.3464	55.9905
221	28.3464	57.0028
222	28.4226	57.4475
223	28.4226	55.7748
224	28.4988	55.6488
225	28.4988	57.8355
226	28.575	55.5538
227	28.575	58.0807
228	28.6512	55.3231
229	28.6512	58.072
230	28.7274	54.8696
231	28.7274	57.7383
232	28.8036	57.215
233	28.8036	54.3501
234	28.8798	54.1316
235	28.8798	56.7821
236	28.956	54.5222
237	28.956	56.7253
238	29.0322	57.1471
239	29.0322	55.543
240	29.1084	56.8549
241	29.1084	57.903
242	29.1846	57.955
243	29.1846	58.7998
244	29.2608	58.5809
245	29.2608	59.6511
246	29.337	60.3513
247	29.337	58.7432
248	29.4132	60.8748
249	29.4132	58.5586
250	29.4894	58.1727
251	29.4894	61.1925
252	29.5656	57.7695
253	29.5656	61.2216
254	29.6418	57.4384
255	29.6418	60.8901
256	29.718	57.1694
257	29.718	60.2059
258	29.7942	59.4117
259	29.7942	57.0187
260	29.8704	58.829
261	29.8704	57.1796
262	29.9466	58.7453
263	29.9466	57.7418
264	30.0228	59.2232
265	30.0228	58.5133
266	30.099	60.0953
267	30.099	59.1361
268	30.1752	59.3618
269	30.1752	61.014
270	30.2514	59.2287
271	30.2514	61.6288
272	30.3276	58.7827
273	30.3276	61.8209
274	30.4038	58.0674
275	30.4038	61.6877
276	30.48	57.0871
277	30.48	61.3653
278	30.5562	55.8767
279	30.5562	60.9999
280	30.6324	54.5736
281	30.6324	60.6373
282	30.7086	60.2751
283	30.7086	53.3135
284	30.7848	52.2577
285	30.7848	59.848
286	30.861	51.6113
287	30.861	59.2769
288	30.9372	58.5822
289	30.9372	51.4432
290	31.0134	51.649
291	31.0134	57.813
292	31.0896	57.0615
293	31.0896	51.9977
294	31.1658	52.3761
295	31.1658	56.423
296	31.242	55.919
297	31.242	52.7305
298	31.3182	52.9939
299	31.3182	55.4985
300	31.3944	53.1255
301	31.3944	55.1147
302	31.4706	54.7326
303	31.4706	53.1279
304	31.5468	53.0993
305	31.5468	54.3853
306	31.623	53.2641
