	DEPT	ТАЛЬБЛОК	НАГРУЗКА	ОБОРОТЫ_РОТОРА	СКОРОСТЬ_МЕХАНИЧЕСКАЯ	РАСХОД_НА_ВЫХОДЕ	ВЕС_НА_КРЮКЕ	СКОРОСТЬ_БУРЕНИЯ	ДАВЛЕНИЕ_НА_ВХОДЕ	ДМК	МОМЕНТ_РОТОРА
0	25.0	3.333	0.0	0.0	0.41	21.89	10.99	1.08	9.9	36.78	0.0
1	25.2	2.604	0.468	0.0	2.08	21.89	10.76	2.9	11.6	30.61	0.0
2	25.4	1.042	0.831	0.0	3.08	21.89	10.51	4.06	12.9	25.79	0.0
3	25.6	0.833	1.102	0.0	3.57	21.89	10.25	4.69	14.0	22.13	0.0
4	25.8	-0.417	1.295	0.0	3.67	21.89	10.02	4.91	14.8	19.41	0.0
5	26.0	11.979	1.421	0.0	3.49	21.89	9.83	4.82	15.4	17.48	0.0
6	26.2	11.636	1.492	0.0	3.14	21.89	9.7	4.52	15.8	16.17	0.0
7	26.4	11.293	1.517	0.0	2.71	21.89	9.65	4.09	16.0	15.33	0.0
8	26.6	10.95	1.508	0.0	2.27	21.89	9.67	3.6	16.1	14.85	0.0
9	26.8	10.607	1.473	0.0	1.87	21.89	9.77	3.11	16.0	14.6	0.0
10	27.0	10.263	1.421	0.0	1.56	21.89	9.94	2.67	15.8	14.49	0.0
11	27.2	9.92	1.36	0.0	1.36	21.89	10.18	2.3	15.5	14.45	0.0
12	27.4	9.577	1.297	0.0	1.29	21.89	10.47	2.03	15.2	14.41	0.0
13	27.6	9.234	1.215	0.0	1.6	21.89	10.96	2.04	14.8	14.26	0.0
14	27.8	8.891	1.175	0.0	1.65	21.89	11.23	1.92	14.5	14.12	0.0
15	28.0	8.548	1.158	0.0	1.71	21.89	11.44	1.84	14.3	13.91	0.0
16	28.2	8.205	1.202	0.0	1.72	21.89	11.49	1.81	14.2	13.48	0.0
17	28.4	7.862	1.251	0.0	1.72	21.89	11.5	1.81	14.2	13.03	0.0
