,DEPT,GR
0,19.9644,30.6875
1,20.0406,30.6367
2,20.1168,30.446
3,20.193,30.2562
4,20.2692,30.1985
5,20.3454,30.2968
6,20.4216,30.4602
7,20.4978,30.5481
8,20.574,30.4865
9,20.6502,30.3488
10,20.7264,30.2615
11,20.8026,30.3505
12,20.8788,30.6051
13,20.955,30.8839
14,21.0312,31.0753
15,21.1074,31.1811
16,21.1836,31.2175
17,21.2598,31.2063
18,21.336,31.1302
19,21.4122,30.9504
20,21.4884,30.659
21,21.5646,30.3263
22,21.6408,30.003
23,21.717,29.7165
24,21.7932,29.4778
25,21.8694,29.2599
26,21.9456,29.0061
27,22.0218,28.7481
28,22.098,28.6366
29,22.1742,28.8505
30,22.2504,29.4616
31,22.3266,30.3416
32,22.4028,31.2622
33,22.479,32.0512
34,22.5552,32.6068
35,22.6314,32.8981
36,22.7076,32.9692
37,22.7838,32.8945
38,22.86,32.6962
39,22.9362,32.3374
40,23.0124,31.822
41,23.0886,31.3445
42,23.1648,31.1866
43,23.241,31.5028
44,23.3172,32.1523
45,23.3934,32.8164
46,23.4696,33.1292
47,23.5458,32.896
48,23.622,32.249
49,23.6982,31.5721
50,23.7744,31.1896
51,23.8506,31.2458
52,23.9268,31.678
53,24.003,32.3568
54,24.0792,33.1165
55,24.1554,33.8011
56,24.2316,34.3116
57,24.3078,34.6752
58,24.384,35.0123
59,24.4602,35.3988
60,24.5364,35.7902
61,24.6126,36.1142
62,24.6888,36.3141
63,24.765,36.4362
64,24.8412,36.6057
65,24.9174,37.0316
66,24.9936,37.8957
67,25.0698,39.1551
68,25.146,40.4909
69,25.2222,41.5521
70,25.2984,42.1006
71,25.3746,42.1437
72,25.4508,41.8391
73,25.527,41.4385
74,25.6032,41.2094
75,25.6794,41.3464
76,25.7556,41.9411
77,25.8318,42.8935
78,25.908,43.9324
79,25.9842,44.838
80,26.0604,45.5356
81,26.1366,46.028
82,26.2128,46.3757
83,26.289,46.6928
84,26.3652,47.0947
85,26.4414,47.5515
86,26.5176,47.9849
87,26.5938,48.3659
88,26.67,48.7451
89,26.7462,49.1497
90,26.8224,49.5578
91,26.8986,49.9772
92,26.9748,50.5078
93,27.051,51.1841
94,27.1272,51.8188
95,27.2034,52.1284
96,27.2796,52.0322
97,27.3558,51.7063
98,27.432,51.4267
99,27.5082,51.4253
100,27.5844,51.7607
101,27.6606,52.3144
102,27.7368,52.8217
103,27.813,53.1212
104,27.8892,53.3047
105,27.9654,53.6204
106,28.0416,54.2386
107,28.1178,55.0359
108,28.194,55.8083
109,28.2702,56.4692
110,28.3464,57.0028
111,28.4226,57.4475
112,28.4988,57.8355
113,28.575,58.0807
114,28.6512,58.072
115,28.7274,57.7383
116,28.8036,57.215
117,28.8798,56.7821
118,28.956,56.7253
119,29.0322,57.1471
120,29.1084,57.903
121,29.1846,58.7998
122,29.2608,59.6511
123,29.337,60.3513
124,29.4132,60.8748
125,29.4894,61.1925
126,29.5656,61.2216
127,29.6418,60.8901
128,29.718,60.2059
129,29.7942,59.4117
130,29.8704,58.829
131,29.9466,58.7453
132,30.0228,59.2232
133,30.099,60.0953
134,30.1752,61.014
135,30.2514,61.6288
136,30.3276,61.8209
137,30.4038,61.6877
138,30.48,61.3653
139,30.5562,60.9999
140,30.6324,60.6373
141,30.7086,60.2751
142,30.7848,59.848
143,30.861,59.2769
144,30.9372,58.5822
145,31.0134,57.813
146,31.0896,57.0615
147,31.1658,56.423
148,31.242,55.919
149,31.3182,55.4985
150,31.3944,55.1147
